Gene	proba_m1	proba_m2	bayes_factor	scale1	scale2	raw_mean1	raw_mean2	non_zeros_proportion1	non_zeros_proportion2	raw_normalized_mean1	raw_normalized_mean2	comparison	group1	group2
SIX3	0.9804	0.01959999999999995	3.9124305854134556	0.00041012678	2.8652576e-05	0.91202164	0.030537322	0.3742916790933548	0.014032991109420613	3.6833136	0.13500851	0 vs Rest	0	Rest
VAX1	0.9802	0.01980000000000004	3.9020741999265773	0.00017770917	4.298537e-06	0.4196245	0.0030917756	0.21503131524008615	0.002412769116555279	1.5423529	0.015129277	0 vs Rest	0	Rest
SOX1-OT	0.97	0.030000000000000027	3.476098366811273	0.0010287813	8.932169e-05	1.654648	0.1292356	0.5839546674619682	0.08200698933491828	8.9315	0.70699733	0 vs Rest	0	Rest
DLX1	0.9664	0.03359999999999996	3.359051472940072	0.0009438119	3.1716223e-05	1.4318608	0.034679316	0.5019385624813676	0.018718199431436468	9.674407	0.22287627	0 vs Rest	0	Rest
OTX2	0.9608	0.03920000000000001	3.199089279275342	0.00017838758	1.0455808e-05	0.5111844	0.013449084	0.24038174768864015	0.007206619950386769	1.8796113	0.066228375	0 vs Rest	0	Rest
DLX2	0.9602	0.03979999999999995	3.1832744429646964	0.0017401783	6.83507e-05	2.7083426	0.068735	0.6009543692215836	0.02895775616998706	18.605755	0.45161837	0 vs Rest	0	Rest
OLIG2	0.9594	0.04059999999999997	3.16253978657807	0.00017453679	1.1002872e-05	0.3736957	0.026612794	0.23352221890844319	0.0049024933456461636	1.7211983	0.078910634	0 vs Rest	0	Rest
NTRK2	0.9444	0.05559999999999998	2.8323664346874557	0.0009835549	7.5036725e-05	1.8893628	0.10833206	0.4762898896510662	0.05383689137559009	10.85789	0.45057663	0 vs Rest	0	Rest
DLX5	0.9418	0.05820000000000003	2.7839074218687356	0.000865142	5.856791e-05	1.3978554	0.08155483	0.25887265135699716	0.024992304488744656	7.8244843	0.4821976	0 vs Rest	0	Rest
MEIS1	0.9412	0.05879999999999996	2.7730136425053487	0.0008626482	0.00021009703	1.7128032	0.3465068	0.6263048016701329	0.1804325782678562	8.815496	1.7002069	0 vs Rest	0	Rest
TRPC4	0.9406	0.05940000000000001	2.7622235854237056	0.00031364782	5.116887e-05	0.6116928	0.047375597	0.32060841037876986	0.030537599362628155	2.7532876	0.23551373	0 vs Rest	0	Rest
DLX6-AS1	0.9294	0.0706	2.5775089412682624	0.0017836473	0.0003021581	2.6650796	0.43077686	0.3021175067104128	0.039133938109978984	16.035852	2.415288	0 vs Rest	0	Rest
PDZRN3	0.9276	0.07240000000000002	2.550394178648677	0.0012536816	0.00016948265	2.088884	0.24414046	0.4270802266626967	0.05518134245929899	12.312923	1.2835678	0 vs Rest	0	Rest
GJA1	0.9262	0.07379999999999998	2.529731337735684	8.462333e-05	2.5783613e-05	0.13092741	0.027205374	0.09901580674023311	0.012869610878736483	0.80402863	0.1613869	0 vs Rest	0	Rest
LRP2	0.9232	0.07679999999999998	2.486641136223773	0.00029509148	5.54374e-05	0.49627241	0.0370509	0.24694303608708942	0.023824397486734906	2.4287283	0.18249989	0 vs Rest	0	Rest
EMB	0.9222	0.07779999999999998	2.472620570897198	7.634318e-05	1.4936428e-05	0.10975229	0.008523882	0.08022666269012838	0.006744889275173524	0.5152383	0.042788472	0 vs Rest	0	Rest
NRXN3	0.9204	0.0796	2.447794150547582	0.00954561	0.0012065473	18.729362	2.3170516	0.7512675216223935	0.21580024263491887	97.69461	12.379794	0 vs Rest	0	Rest
